Unnamed: 0,Timestamp,Open,High,Low,Close,20EMA,50EMA,200EMA,EMA_20_50_Crossover,EMA_50_200_Crossover,RSI_14,High_Low_Diff,Open_Close_Diff,Future_4H_Change,ATR,Date,Daily_Open,Daily_Close
539,2022-01-01 00:00:00,3676.22,3748.45,3676.22,3723.96,3759.135,3853.269,4018.731,0,0,49.875,72.23,-47.74,-8.65,,2022-01-01,3676.22,3765.54
540,2022-01-01 04:00:00,3723.96,3765.27,3701.0,3715.31,3754.961,3847.859,4015.711,0,0,57.065,64.27,8.65,-21.94,64.26999999999998,2022-01-01,3676.22,3765.54
541,2022-01-01 08:00:00,3715.32,3733.84,3673.46,3693.37,3749.095,3841.8,4012.504,0,0,53.632,60.38,21.95,31.93,60.38000000000011,2022-01-01,3676.22,3765.54
542,2022-01-01 12:00:00,3693.38,3745.36,3691.88,3725.3,3746.829,3837.232,4009.646,0,0,51.41,53.48,-31.92,22.31,53.48000000000002,2022-01-01,3676.22,3765.54
543,2022-01-01 16:00:00,3725.29,3766.0,3718.71,3747.61,3746.904,3833.717,4007.039,0,0,50.869,47.29,-22.32,17.93,47.289999999999964,2022-01-01,3676.22,3765.54
544,2022-01-01 20:00:00,3747.6,3776.45,3740.0,3765.54,3748.678,3831.043,4004.636,0,0,55.071,36.45,-17.94,-6.99,36.44999999999982,2022-01-01,3676.22,3765.54
545,2022-01-02 00:00:00,3765.54,3771.0,3741.8,3758.55,3749.619,3828.201,4002.187,0,0,50.714,29.2,6.99,-11.33,29.199999999999818,2022-01-02,3765.54,3828.27
546,2022-01-02 04:00:00,3758.13,3761.92,3717.3,3747.22,3749.39,3825.025,3999.65,0,0,53.839,44.62,10.91,-3.21,44.61999999999989,2022-01-02,3765.54,3828.27
547,2022-01-02 08:00:00,3747.22,3770.0,3732.39,3744.01,3748.878,3821.848,3997.107,0,0,50.133,37.61,3.21,34.16,37.61000000000013,2022-01-02,3765.54,3828.27
548,2022-01-02 12:00:00,3744.06,3790.38,3730.33,3778.17,3751.668,3820.135,3994.928,0,0,55.897,60.05,-34.11,20.55,60.05000000000018,2022-01-02,3765.54,3828.27
549,2022-01-02 16:00:00,3778.17,3857.44,3771.91,3798.72,3756.149,3819.295,3992.976,0,0,52.028,85.53,-20.55,29.55,85.5300000000002,2022-01-02,3765.54,3828.27
