Unnamed: 0,Timestamp,Open,High,Low,Close,20EMA,50EMA,200EMA,EMA_20_50_Crossover,EMA_50_200_Crossover,RSI_14,High_Low_Diff,Open_Close_Diff,Future_4H_Change,ATR,Date,Daily_Open,Daily_Close
539,2022-01-01 00:00:00,46216.93,46949.99,46208.37,46813.2,47456.721,48266.618,50386.474,0,0,47.669,741.62,-596.27,381.53,,2022-01-01,46216.93,47722.65
540,2022-01-01 04:00:00,46813.21,47555.55,46591.23,47194.73,47431.77,48224.583,50354.715,0,0,55.296,964.32,-381.52,-435.86,964.3199999999997,2022-01-01,46216.93,47722.65
541,2022-01-01 08:00:00,47194.73,47344.69,46715.39,46758.87,47367.684,48167.105,50318.936,0,0,51.748,629.3,435.86,460.17,629.3000000000029,2022-01-01,46216.93,47722.65
542,2022-01-01 12:00:00,46758.87,47491.14,46756.3,47219.04,47353.527,48129.926,50288.091,0,0,51.639,734.84,-460.17,110.74,734.8399999999965,2022-01-01,46216.93,47722.65
543,2022-01-01 16:00:00,47219.04,47954.63,47186.07,47329.78,47351.266,48098.547,50258.655,0,0,48.645,768.56,-110.74,392.87,768.5599999999977,2022-01-01,46216.93,47722.65
544,2022-01-01 20:00:00,47329.79,47814.0,47222.22,47722.65,47386.636,48083.806,50233.421,0,0,54.09,591.78,-392.86,-393.18,591.7799999999988,2022-01-01,46216.93,47722.65
545,2022-01-02 00:00:00,47722.66,47750.0,47269.47,47329.47,47381.191,48054.224,50204.526,0,0,48.337,480.53,393.19,-156.02,480.52999999999884,2022-01-02,47722.66,47286.18
546,2022-01-02 04:00:00,47329.47,47415.73,46770.23,47173.45,47361.406,48019.684,50174.366,0,0,50.398,645.5,156.02,62.05,645.5,2022-01-02,47722.66,47286.18
547,2022-01-02 08:00:00,47173.44,47499.45,46970.05,47235.5,47349.415,47988.932,50145.124,0,0,50.256,529.4,-62.06,104.97,529.3999999999942,2022-01-02,47722.66,47286.18
548,2022-01-02 12:00:00,47238.89,47447.0,47013.5,47340.47,47348.563,47963.502,50117.217,0,0,51.119,433.5,-101.58,-432.79,433.5,2022-01-02,47722.66,47286.18
549,2022-01-02 16:00:00,47340.47,47990.0,46654.0,46907.68,47306.574,47922.097,50085.281,0,0,41.552,1336.0,432.79,378.5,1336.0,2022-01-02,47722.66,47286.18
550,2022-01-02 20:00:00,46907.67,47469.34,46815.17,47286.18,47304.632,47897.159,50057.429,0,0,44.609,654.17,-378.51,-492.92,654.1699999999983,2022-01-02,47722.66,47286.18
551,2022-01-03 00:00:00,47286.18,47289.11,46722.39,46793.26,47255.93,47853.869,50024.95,0,0,60.897,566.72,492.92,258.11,566.7200000000012,2022-01-03,47286.18,46446.1
552,2022-01-03 04:00:00,46793.27,47211.09,46750.0,47051.37,47236.448,47822.399,49995.362,0,0,58.961,461.09,-258.1,326.63,461.0899999999965,2022-01-03,47286.18,46446.1
553,2022-01-03 08:00:00,47051.36,47431.67,46778.0,47378.0,47249.929,47804.971,49969.319,0,0,56.438,653.67,-326.64,-684.55,653.6699999999983,2022-01-03,47286.18,46446.1
554,2022-01-03 12:00:00,47378.0,47570.0,46575.25,46693.45,47196.931,47761.382,49936.723,0,0,44.655,994.75,684.55,-333.44,994.75,2022-01-03,47286.18,46446.1
555,2022-01-03 16:00:00,46693.44,46790.0,46263.29,46360.01,47117.224,47706.426,49901.134,0,0,45.652,526.71,333.43,86.09,526.7099999999991,2022-01-03,47286.18,46446.1
556,2022-01-03 20:00:00,46360.01,46576.94,45696.0,46446.1,47053.308,47657.002,49866.755,0,0,40.826,880.94,-86.09,-132.13,880.9400000000023,2022-01-03,47286.18,46446.1
557,2022-01-04 00:00:00,46446.1,46549.19,45934.5,46313.97,46982.895,47604.334,49831.404,0,0,38.005,614.69,132.13,236.03,614.6900000000023,2022-01-04,46446.1,45832.01
558,2022-01-04 04:00:00,46313.96,46600.21,45996.26,46550.0,46941.667,47562.987,49798.753,0,0,35.62,603.95,-236.04,183.77,603.9499999999971,2022-01-04,46446.1,45832.01
559,2022-01-04 08:00:00,46549.99,46772.41,46300.0,46733.77,46921.867,47530.469,49768.256,0,0,42.3,472.41,-183.78,191.58,472.4100000000035,2022-01-04,46446.1,45832.01
